participant_id,comparison_id,prefers_w_word,preference_strength,word
1,just_e_1907,-1,1,just
1,only_1142,1,7,only
1,only_965,-1,1,only
1,just_j_10613,1,7,just
1,not_729,1,7,not
1,just_j_7769,1,7,just
1,not_319,1,7,not
1,control_00008,1,7,control
1,just_j_4012,1,7,just
1,only_1446,1,7,only
1,control_00011,1,7,control
1,only_1038,1,7,only
1,not_81,1,7,not
1,not_865,1,7,not
1,just_j_8011,1,7,just
1,not_686,1,7,not
1,just_e_1001,1,7,just
1,only_966,1,7,only
1,only_2232,-1,1,only
1,control_00010,1,7,control
1,not_383,1,7,not
1,control_00018,1,7,control
1,control_00023,1,7,control
1,not_367,1,7,not
1,just_j_1461,1,7,just
1,just_j_7873,1,7,just
1,only_501,-1,1,only
1,only_1493,-1,1,only
1,only_1891,0,4,only
1,not_226,1,7,not
1,only_1888,-1,1,only
1,control_00000,1,7,control
1,just_j_2438,-1,1,just
1,just_e_9268,1,7,just
1,control_00028,1,7,control
1,control_00013,1,7,control
1,only_1272,1,7,only
1,only_794,1,7,only
1,only_1579,1,7,only
1,not_1602,1,7,not
1,just_e_5138,1,7,just
1,control_00021,1,7,control
1,not_949,1,7,not
1,not_768,1,7,not
1,control_00027,1,7,control
1,only_1602,1,7,only
1,only_660,1,7,only
1,only_2333,1,7,only
1,control_00016,1,7,control
1,only_1368,1,7,only
1,only_687,1,7,only
1,not_1647,1,7,not
1,control_00024,1,7,control
1,just_j_12662,1,7,just
1,control_00020,1,7,control
1,only_2405,1,7,only
1,just_j_12718,1,7,just
1,not_7,1,7,not
1,just_j_788,1,7,just
1,not_702,1,7,not
1,control_00022,1,7,control
1,just_j_8242,-1,1,just
1,control_00026,1,7,control
1,control_00015,1,7,control
1,just_j_2164,-1,1,just
1,only_745,1,7,only
1,not_1570,1,7,not
1,only_649,1,7,only
1,not_460,1,7,not
1,just_j_8890,1,7,just
1,control_00025,1,7,control
1,control_00017,1,7,control
1,control_00029,1,7,control
1,control_00007,1,7,control
1,control_00003,1,7,control
1,control_00012,1,7,control
1,only_2118,1,7,only
1,only_1538,-1,1,only
1,not_1697,1,7,not
1,not_1700,1,7,not
1,just_j_638,1,7,just
1,only_1624,1,7,only
1,control_00009,1,7,control
1,control_00002,1,7,control
1,just_j_6768,1,7,just
1,control_00004,1,7,control
1,not_15,1,7,not
1,control_00006,1,7,control
1,control_00014,1,7,control
1,just_e_4508,1,7,just
1,not_309,1,7,not
1,only_1577,1,7,only
1,control_00005,1,7,control
1,just_e_9687,-1,2,just
1,only_2038,-1,1,only
1,not_379,1,7,not
1,not_302,1,7,not
1,not_272,1,7,not
1,just_j_1627,1,7,just
1,just_e_2717,1,7,just
1,only_1817,1,7,only
1,not_5,1,7,not
1,not_71,1,7,not
1,control_00001,1,7,control
1,only_2032,1,7,only
1,control_00019,1,7,control
1,not_969,1,7,not
1,just_j_5467,1,7,just
1,not_1686,1,7,not
1,just_j_4722,1,7,just
1,not_1154,1,7,not
1,not_244,1,7,not
1,only_491,1,7,only
1,only_315,-1,1,only
1,not_698,1,7,not
2,not_309,1,7,not
2,only_1272,1,6,only
2,control_00024,1,7,control
2,just_j_4722,-1,3,just
2,just_e_9687,-1,2,just
2,only_2232,-1,2,only
2,control_00026,1,7,control
2,only_1493,-1,1,only
2,control_00022,1,7,control
2,control_00018,1,7,control
2,just_j_8890,1,5,just
2,not_969,1,7,not
2,just_e_1907,-1,3,just
2,not_865,1,7,not
2,only_687,1,6,only
2,not_768,1,7,not
2,only_660,1,7,only
2,only_649,1,6,only
2,not_460,1,7,not
2,just_j_2438,1,6,just
2,just_j_638,1,7,just
2,not_383,-1,1,not
2,just_j_7873,1,6,just
2,control_00003,1,7,control
2,control_00002,1,7,control
2,just_j_7769,1,6,just
2,just_j_1461,-1,3,just
2,control_00016,1,7,control
2,only_1817,1,7,only
2,only_794,1,5,only
2,just_j_4012,-1,3,just
2,only_2038,1,6,only
2,just_j_10613,1,6,just
2,only_1602,1,7,only
2,just_e_2717,-1,2,just
2,just_e_5138,1,7,just
2,only_966,1,7,only
2,not_702,1,7,not
2,only_2405,1,6,only
2,only_1142,1,7,only
2,control_00010,1,7,control
2,only_1538,-1,2,only
2,not_81,1,7,not
2,control_00012,1,7,control
2,not_379,1,7,not
2,only_1038,1,7,only
2,just_j_6768,1,6,just
2,control_00009,1,7,control
2,not_949,1,7,not
2,just_e_4508,1,6,just
2,just_j_788,1,6,just
2,control_00023,1,7,control
2,just_e_9268,1,6,just
2,control_00000,1,7,control
2,just_j_8242,1,6,just
2,not_15,1,7,not
2,control_00027,1,7,control
2,control_00019,1,7,control
2,not_272,1,7,not
2,control_00011,1,7,control
2,control_00021,1,7,control
2,only_315,-1,1,only
2,not_1602,1,7,not
2,not_1686,1,7,not
2,not_319,1,7,not
2,control_00025,1,7,control
2,control_00017,1,7,control
2,only_965,1,6,only
2,only_2032,1,7,only
2,just_j_8011,1,7,just
2,only_1888,1,5,only
2,only_1624,1,7,only
2,just_j_5467,1,7,just
2,only_1446,1,7,only
2,control_00006,1,7,control
2,control_00001,1,7,control
2,only_1579,1,7,only
2,not_1647,1,7,not
2,not_5,1,7,not
2,only_2333,1,7,only
2,control_00004,1,7,control
2,control_00007,1,7,control
2,not_302,1,7,not
2,just_j_2164,1,6,just
2,not_1697,1,7,not
2,not_71,1,7,not
2,only_2118,1,7,only
2,not_244,1,7,not
2,control_00008,1,7,control
2,not_729,1,7,not
2,not_686,1,7,not
2,only_1577,1,7,only
2,just_e_1001,1,6,just
2,not_1154,1,7,not
2,not_698,1,7,not
2,control_00005,1,7,control
2,not_7,-1,2,not
2,just_j_12718,1,7,just
2,not_367,1,7,not
2,control_00020,1,7,control
2,only_745,1,7,only
2,control_00028,1,7,control
2,just_j_12662,1,7,just
2,control_00013,1,7,control
2,only_1891,-1,2,only
2,not_226,-1,1,not
2,control_00015,1,7,control
2,only_501,1,7,only
2,control_00014,1,7,control
2,not_1700,1,7,not
2,just_j_1627,1,7,just
2,control_00029,1,7,control
2,only_491,1,7,only
2,not_1570,1,7,not
2,only_1368,1,7,only
3,not_302,1,7,not
3,control_00003,1,7,control
3,just_e_1907,0,4,just
3,only_315,-1,2,only
3,not_7,1,5,not
3,control_00011,1,7,control
3,only_491,1,6,only
3,control_00008,1,7,control
3,just_j_7873,1,5,just
3,not_272,1,6,not
3,control_00016,1,7,control
3,only_1446,0,4,only
3,only_2032,1,6,only
3,only_2038,1,6,only
3,just_j_4012,1,6,just
3,control_00020,1,5,control
3,only_1538,-1,1,only
3,not_729,1,7,not
3,control_00028,1,7,control
3,control_00006,1,7,control
3,just_j_12718,1,6,just
3,control_00027,1,7,control
3,only_2118,1,6,only
3,just_j_5467,1,6,just
3,control_00026,1,7,control
3,just_j_10613,1,5,just
3,not_379,1,6,not
3,not_969,1,7,not
3,only_1577,1,6,only
3,control_00007,1,7,control
3,only_2405,1,6,only
3,only_966,1,6,only
3,not_1602,1,7,not
3,control_00001,1,6,control
3,just_j_1461,0,4,just
3,control_00015,1,7,control
3,just_j_8011,0,4,just
3,control_00024,1,7,control
3,only_1888,0,4,only
3,not_367,1,7,not
3,only_660,1,5,only
3,just_j_788,0,4,just
3,only_794,1,5,only
3,not_768,1,5,not
3,not_81,1,7,not
3,just_j_8890,0,4,just
3,control_00014,1,7,control
3,not_15,1,7,not
3,only_1817,1,7,only
3,control_00018,1,7,control
3,control_00009,1,7,control
3,only_1602,1,5,only
3,control_00019,1,7,control
3,control_00025,1,7,control
3,just_j_638,1,5,just
3,only_1038,0,4,only
3,control_00021,1,7,control
3,only_1493,1,5,only
3,not_1570,1,6,not
3,only_1579,1,6,only
3,just_j_6768,1,5,just
3,only_649,1,5,only
3,not_244,1,7,not
3,only_1142,1,6,only
3,just_j_2164,1,5,just
3,only_965,0,4,only
3,just_e_1001,0,4,just
3,just_j_2438,0,4,just
3,control_00022,1,7,control
3,only_1891,1,5,only
3,just_j_7769,1,5,just
3,not_949,1,6,not
3,not_1686,1,7,not
3,control_00002,1,7,control
3,only_1624,1,6,only
3,not_1647,1,7,not
3,not_698,1,6,not
3,only_1272,0,4,only
3,control_00012,1,7,control
3,just_j_8242,0,4,just
3,only_501,-1,3,only
3,control_00017,1,7,control
3,not_1697,1,6,not
3,only_1368,1,5,only
3,control_00005,1,7,control
3,not_1154,1,7,not
3,only_687,1,5,only
3,not_309,1,7,not
3,just_e_2717,1,6,just
3,not_319,1,6,not
3,control_00010,1,7,control
3,control_00029,1,7,control
3,just_j_4722,0,4,just
3,not_460,1,7,not
3,not_71,1,7,not
3,not_865,1,7,not
3,not_226,1,6,not
3,not_686,1,7,not
3,control_00000,1,7,control
3,not_1700,1,7,not
3,not_383,1,6,not
3,just_e_9268,0,4,just
3,control_00023,1,7,control
3,not_702,1,5,not
3,only_2333,1,6,only
3,just_e_9687,-1,3,just
3,only_2232,-1,3,only
3,control_00013,1,7,control
3,just_e_5138,1,6,just
3,just_e_4508,1,6,just
3,not_5,1,7,not
3,just_j_12662,1,5,just
3,control_00004,1,7,control
3,only_745,1,6,only
3,just_j_1627,1,5,just
4,just_j_2438,0,4,just
4,control_00021,1,7,control
4,not_865,1,7,not
4,just_j_1461,-1,1,just
4,control_00006,1,7,control
4,only_1446,1,7,only
4,only_1624,1,7,only
4,control_00026,1,7,control
4,not_1686,1,7,not
4,not_379,1,7,not
4,just_j_788,1,6,just
4,not_1700,1,7,not
4,only_1038,1,7,only
4,control_00002,1,7,control
4,control_00014,1,7,control
4,only_1142,1,7,only
4,control_00023,1,7,control
4,not_244,1,7,not
4,not_1602,1,7,not
4,not_319,1,5,not
4,only_687,0,4,only
4,only_1577,1,6,only
4,just_j_1627,1,7,just
4,not_1154,1,7,not
4,control_00003,1,7,control
4,only_2333,-1,3,only
4,only_491,1,6,only
4,just_j_5467,1,7,just
4,only_1538,-1,1,only
4,control_00008,1,7,control
4,only_2038,1,7,only
4,only_794,1,6,only
4,only_1493,0,4,only
4,only_1272,1,5,only
4,only_1891,0,4,only
4,not_686,1,6,not
4,just_j_12718,1,7,just
4,just_j_6768,1,7,just
4,control_00015,1,7,control
4,not_309,1,7,not
4,not_15,1,7,not
4,control_00020,0,4,control
4,not_367,1,7,not
4,only_2232,-1,1,only
4,control_00028,1,7,control
4,just_j_12662,1,7,just
4,not_460,1,7,not
4,control_00024,1,7,control
4,not_302,1,7,not
4,only_1579,1,7,only
4,control_00022,1,7,control
4,only_965,1,7,only
4,just_e_1907,1,7,just
4,not_1570,1,7,not
4,just_j_2164,1,7,just
4,not_226,1,7,not
4,control_00018,1,7,control
4,just_e_2717,-1,1,just
4,not_1647,1,7,not
4,not_272,1,7,not
4,not_698,-1,1,not
4,control_00011,1,7,control
4,only_966,1,7,only
4,control_00007,1,7,control
4,control_00004,1,7,control
4,only_1817,1,7,only
4,just_e_9687,1,7,just
4,control_00017,1,7,control
4,control_00001,1,7,control
4,control_00009,1,7,control
4,control_00005,1,7,control
4,not_5,1,7,not
4,not_383,-1,1,not
4,just_e_5138,1,7,just
4,just_j_4012,-1,1,just
4,only_2118,1,6,only
4,only_1602,1,7,only
4,control_00010,1,7,control
4,just_j_7769,-1,1,just
4,just_j_10613,-1,2,just
4,not_71,1,7,not
4,only_2032,1,7,only
4,just_e_9268,1,7,just
4,control_00027,1,7,control
4,only_315,-1,1,only
4,not_969,-1,1,not
4,only_745,-1,1,only
4,not_81,1,7,not
4,only_2405,1,7,only
4,just_e_4508,1,7,just
4,control_00029,1,7,control
4,control_00012,1,7,control
4,just_j_8890,1,7,just
4,control_00016,1,7,control
4,control_00025,1,7,control
4,only_1368,1,7,only
4,only_649,1,7,only
4,not_768,1,7,not
4,control_00019,1,7,control
4,only_501,1,7,only
4,not_1697,1,7,not
4,just_j_638,1,7,just
4,only_1888,1,7,only
4,not_949,1,7,not
4,only_660,1,7,only
4,control_00013,1,7,control
4,not_7,-1,3,not
4,just_e_1001,1,6,just
4,just_j_8242,-1,2,just
4,control_00000,1,7,control
4,just_j_8011,1,7,just
4,just_j_7873,-1,1,just
4,not_729,1,7,not
4,not_702,1,7,not
4,just_j_4722,-1,1,just
5,only_1493,-1,2,only
5,only_1817,1,6,only
